,address,bed_count,full_bath_count,half_bath_count,locality,lot_size,price,sqft
0,0 Gateway,,,,"Rock Springs, WY 82901",,"$725,000",
1,1003 Winchester Blvd.,4,4,,"Rock Springs, WY 82901",,"$452,900",
2,600 Talladega,5,3,,"Rock Springs, WY 82901",,"$396,900","3,154"
3,3239 Spearhead Way,4,3,1,"Rock Springs, WY 82901",,"$389,900","3,076"
4,522 Emerald Street,3,3,,"Rock Springs, WY 82901",,"$254,000","1,172"
5,1302 Veteran's Drive,4,2,,"Rock Springs, WY 82901",,"$252,900","1,932"
6,1021 Cypress Cir,4,3,,"Rock Springs, WY 82901",,"$210,000","1,676"
7,913 Madison Dr,3,2,,"Rock Springs, WY 82901",,"$209,000","1,344"
8,1344 Teton Street,3,2,,"Rock Springs, WY 82901",,"$199,900","1,920"
9,4 Minnies Lane,3,2,,"Rock Springs, WY 82901",,"$196,900","1,664"
